Nombre del artista,Ano debut,Oyentes mensuales en Spotify,Seguidores en spotify (aprox),Seguidores en Instagram (aprox),Artistas femeninas con las que ha colaborado,Artistas maculinos con los que ha colaborado,Tematicas de las canciones (en general),Sub genero musica urbana,numero de albums,Top 3 canciones en Spotify
Paloma Mami,2018,4437560,1100000,4300000,Ninguna,Polima Westcoast/Feid/Pailita/De La Ghetto/Pablito Pesadilla/Alan Gomez/Prince Royce/Marcianeke/Ithan Ny/King Savagge/Ak4:20/El Jordan 23/Ricky Martin/Major Lazer/Diplo/C. Tangana,Empoderamiento femenino,Reggateon/trap,1,1. Ultra Solo Remix ft. Polima Westcoast/Pailita/Feid/De La Ghetto (358416295) 2. No Te Debi Besar ft. C.Tanagana (164095779) 3. Fingias (161465036)
Princesa Alba,2017,971128,228000,659000,Akriila/Albany/BIBI/Camila Moreno/Duda Beat/Ms Nina/Paula Cendejas/Alizz,Pablo Vittar/Kidd Voodoo/Pimp Flaco/Louta/Gepe/Gianluca/Lean Chihiro,Empoderamiento femenino,Pop urbano,3,1. Convencete (79865120) 2. Summer Love ft. Gianluca (17998423) 3. Ya No Quieres Quererme (14065288)
Akriila,2020,640008,50000,103000,Juicy BAE/Princesa Alba/Taichu/Lilen/Condy/Soulfia/Akatumami/Amikiraa,FaceBrooklyn/Broke Carrey/Young Cister/Gianluca/Bryartz/Francisco Victoria/Aqua VS/Heartgaze/Bexnil/Ego Boy/Juan Lopez/Kidd Voodoo/Roi/Kane/Kees Baby/Harry Nach/Saito Ape,Identidad queer,Neoperreo/Pop rap,2,1. Arreglo Floral ft. Kidd Voodoo (7160851) 2. Sol & Prada ft. Young Cister (6683729) 3. CIEGO SORDO MUDO ft. Bryartz (2918768)
Soulfia,2017,902244,37000,160000,KYA/Akriila/Loyaltty/Shirel,Ceaese/Swift 047/Shine Rivera/Kramps/Benja Valencia/Kidd Voodoo/Martinwhite/Daiko 02/Craken/Flackoloyal/Mike Southside/Drefquila/Tunechikidd/Harry Nach/Pablo Feliu /Fabro/Polima Westcoast/Diego Alderan,Empoderamiento femenino/Amor,R&B/Pop urbano,1,1. Escarlata Remix ft. Harry Nach/Kidd Voodoo/Drefquila/Eleven1.1 (31386418) 2. Donde Vas? ft. Polima Westcoast (7915419) 3. SATIROS ft. Kidd Voodoo/Benja Valencia/Daiko 02/Swift 047/Kramps/Martinwhite/Craken (6771492)
Loyaltty,2021,136606,13000,145000,Denise Rosenthal/Mont/Lizz/Kuina/Paula Rivas/Shirel/Xavi Jordan/KYA/VaniaJoplin/Anto Bosman/Flor de Rap/Goyo/Sirena Dir/Sharik/Soulfia/Akriila/Amara Ignacia/Aventuranzas/Dainesitta/Anto Segovia,Erreflex/Juliano Sosa/El Oriental10/Young Kieff/Martinwhite/Francisco Allende/Pablito Pesadilla/Kodigo/Ithan Ny/Matias Emilio/WlakerDiazz/R Climent/Kirs K/Kidd Voodoo/Bryartz/Galee Galee/Piero 47/Drakomafia/Juliano Chieff/Luis Pedraza/Dest/Karnaboy/Kidtetoon,Amor/Juventud,Trap/Reggaeton,1,1. Esperandote ft. Kidd Voodoo (4232226) 2. Pretty Face ft. Galee Galee/Piero 47 (988789) 3. KARO LUJOSO ft. Kuina (691545)
Akatumami,2020,41910,17000,43600,KYA/Charly Gunn/VaniaJoplin/Kuina/Lizz/Amikiraa/Nhla/Akriila/O Ness,Viangogh/Diego Dinnamarco/Nass G/Ovyze/Facebrooklyn/Saitoape,Amor/Juventud,Trap/Reggaeton,Ninguno,1. Kien tu ere? ft. Nass G (559970) 2. Gata Pistola ft. Nass G (521970) 3. PONCEO 2012 ft. Kuina (291285)
Kuina,2021,104421,17000,50000,Akacats/Lizz/Loyaltty/Hellolola/Vlntna B/Akatumami,Polima Westcoast/Ovyze/Harry Nach/Viangogh/Maltrunks/Saint Cattiveria/Saitoape/Kane/Roi/Marcocaina/Jovenroses,Amor/Juventud,Pop urbano/Trap,2,1. KARO LUJOSO ft. Loyaltty (691545) 2. mg km aplaude ft. Harry Nach (478102) 3. YENES (299714)
Flor de Rap,2018,167930,70000,394000,Anita Tijoux/Rapbrina/Loyaltty/Consuelo Schuster/Karla Grunewaldt/Lela/Dainesitta/Karla Melo/Mariel Mariel/Blue Mary/Denise Rosenthal/Rossanita/Vikina/Crash/Nenlinna/Hispana/Michelle Nu–ez/Francisca Ruiz,Bajo el Sepelio/Bascur/Rayking/Francy Mc/Claudio Bstardo/DemonBlack/W1zrd/Benjahhmin/Deblockztars/Malcriaoh DâAoZousa/Penyair/Cheo Gallego/Lewis Some/Aqua VS/Punto40/Relax Rlx/Utopiko/Fran C/King Savagge/Marcianeke/Portavoz/Tito Rey/Jaudy/Nanpa Basico/Cestar/Carlitos Junior/Arte Elegante/Pailita/Movimeinto Original/Demian Rodriguez/Tunechikidd/Los Power/Liricistas/Joe Bananas/Pablo Chill-E/Chystemc,Empoderamiento femenino/Luchas Sociales,Rap/Trap,3,1. Bailalo Mujer fr. Denise Rosenthal (6456883) 2. Amor fr. Movimiento Original/Portavoz/Chystemc (2759666) 3. Silent Hill ft. Pablo Chill-E (979298)
Anita Tijoux,2013,851843,444000,663000,Flor de Rap/KYA/Sara Hebe/Clara Peya/Alba Flores/MC Millaray/Shadia Mansour/Julieta Venegas/Iara Renn,Pj Sin Suela/Pablo Chill-E/Aerstame/Omar/Talib Kweli/Movimiento Original/Antonio Sanchez/Celso Pi–a/Hordatoj/Jorge Drexler/Juanito Ayala/Victor Flores/Quantic,Luchas Sociles/Identidad,Hip-hop/Rap,5,1. 1977 (45895685) 2. Doo Wap-That Thing ft. Quantic/Iara Renn (8653639) 3. A Veces ft. Hordatoj (7069965)
Tomasa del Real,2016,71116,72000,122000,Eli Fantasy/Mista Greenz/TECH GRL/Blue Mary/Albany/Lizz/DJ Sustancia/Badly Rouse/Luselena Marcias/Chzter/NIXIE/Waxxha/Sugarrbbaby/HOLI RARE,Talisto/Ceaese/Deltraton/La Mafia del Amor/BrunoOG/MANCANDY/Jamez Manuel/Dj Blass/Alcover/Toy Selectah/Dj Bitman/Jesse Baez/Juan Ingaramo/Galanjah/Nass G/Fabien/Geeflowllc/El Licenciado/Maicon Superstar/DJ Urba/King Doudou/Dave Nada/Merca Bae/Kid Lucifer/Young Aleexx/xKori/Zevra/NYKE BOY/Chico Sonido/Boris Castro/Doble Tempo/Paul Marmota/Tzunami,Empoderamiento femenino,Neoperreo,3,1. Barre con el Pelo ft. Dj Blass (4940593) 2. Tu Se–ora ft. Talisto (4206905) 3. Perra del Futuro (3715157)
Blue Mary,2016,31132,13000,844000,Sirena Dir/Aina Maro/Leslie Shaw/Efty/Flor de Rap/Kiara/Michelson/Katiadhq/Tomasa del Real,Fran C/Lion Fiah/El Shaaki/Son Gotten/Nyxis music/Benji Gramitos/Duace/OIK/DJ Cia/Dani Salvador/Sayian Jimmy/Mc Nego Blue/Dj Rocka/Makuto/Saybor/Dash/Bairon Fire/Polima Westcoast/J Emiliano/Rami/Vladi Cachai/DW,Empoderamiento femenino,Trap/Reggaeton,Ninguno,1. Pastillitas de Colores ft. Dj Rocka (3312163) 2. Solo tu ft. Vladi Cachai/DW/Rami (1804940) 3. Caceria ft. Fran C (658221)
Lizz,2016,29387,19000,120000,JEDET/Kuina/Loyaltty/Vicenta/Tomasa del Real/Albany/Akatumami/DJ Sustancia/TECH GRL,SINAKA/Utopiko/Wikeles/Don Elektron/Jamez Manuel,Amor/Desamor,Trap/Pop urbano,1,1. Chacal (1422495) 2. La Puteria ft. Tomasa del Real (823071) 3. Dale Arca Dale (256445)
KYA,2020,80259,6800,29100,Sofia Correa/JEM/Akatumami/Cheskv Liz/Soulfia/Bela/Anita Tijoux/Fran Mazu/Loyaltty/Vlntna B/Catana/Liah Veliz,DJ Acres/Easykid/Rial B Class/Drefquila/Truffy/Nass G/Many Mendez/SuperSerius/Macree/Kuroh/Vloneboi/Cruzito/Tommy Boysen/Criss J/Chilideiv/Lewis Some/Rod Valdes/C-Funk/Movimiento Original/Pablo Feliu/Loni/Naikido,Empoderamiento femenino,Trap/Pop urbano,3,1. Faroles ft. Denise Rosenthal/Soulfia/Shirel (5420301) 2. Besitos D3 ft. Easykid (342350) 3. Diablo ft. Soulfia/Macree (202072)
Shirel,2020,53999,8400,38400,Vlntna B/Paula Rivas/Loyaltty/Karla Grunewaldt/Denise Rosenthal/Entropica/Masquemusica/Soulfia/Yorka/FEMI/Andrea Martinez,Paco Miranda/Nass G/Ignacio Ruiz/Benjamin Walker/Milo Mae/Lucas Piraino/Polima Westcoast,Empoderamiento femenino,R&B/Trap,1,1. Faroles ft. Denise Rosenthal/Soulfia/KYA (5420301) 2. Me Atrapo ft. Yorka/FEMI (443373) 3. Amor de Verano (107902)
Aura BAE,2020,71212,19000,37200,Lua Lacruz/Ambar Luna,Ekki/Viangogh/Saitoape/Istrux/Ceaese/Utopiko/Tukko21/Evyzsa/Nass G/Roi/Tufachi Beat,Empoderamiento femenino/Personal,Trap/Reggaeton,1,1. Loba (117347) 2. Chillin (918902) 3. Ryp (503060)
Fran Maira,2024,376069,22000,770000,Ninguna,Beast,Empoderamiento femenino,Pop urbano/Reggaeton,Ninguno,1. Amiga ya Mato (6746017) 2. Enfoca en lo Mio (1248418) 3. Desleal ft. Best (1155197)
Amikiraa,2019,12401,3600,9837,Caticvt/Akatumami/Nihla/Akriila,Ober/BABYBOOM/Tango Torino/Svmu/Mfv/Ned Quintana/Jsnck/Neonshawty/Nass G/Martin Crauz/Saitoape/Matt Travel/Kirablvm,Amor propio,Trap/R&B,Ninguno,1. Stefany ft. Akatumami/Akriila (581563) 2. X Detra ft. Nihla/Akatumami/Saitoape (231129) 3. Bad Girl (118499)